"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
1.440085624E2,5.234084016E1,4.874781270E0,1.322472966E1,7.619999886E0,2.329999924E1,4.311488628E0,4.094471931E0
1.450088758E2,5.234085374E1,4.874913840E0,1.346133605E1,8.520000458E0,2.570000076E1,4.135688305E0,3.810376883E0
1.460087263E2,5.234086752E1,4.875067280E0,1.366444639E1,9.770000458E0,3.458999939E2,3.962014198E0,3.442248583E0
1.470086553E2,5.234088074E1,4.875227400E0,1.359882198E1,1.072999954E1,8.719999695E1,3.860831976E0,3.237178564E0
1.480084419E2,5.234088142E1,4.875385540E0,1.382700202E1,1.096000004E1,8.690000153E1,3.942961216E0,3.253585339E0
1.490086435E2,5.234088492E1,4.875545160E0,1.387739146E1,1.056999969E1,8.740000153E1,4.107932568E0,3.451205492E0
1.500085791E2,5.234088824E1,4.875695470E0,1.427811712E1,9.890000343E0,8.680000305E1,4.187804222E0,3.539126635E0
1.510091995E2,5.234089642E1,4.875829040E0,1.462354216E1,9.039999962E0,8.580000305E1,4.227789879E0,3.495696545E0
1.520100333E2,5.234090423E1,4.875963090E0,1.453897428E1,8.680000305E0,8.619999695E1,4.693715572E0,3.714144707E0
1.530092104E2,5.234091311E1,4.876072430E0,1.402012861E1,7.489999771E0,8.769999695E1,1.043521023E1,3.835567713E0
1.540086506E2,5.234091474E1,4.876177450E0,1.445964426E1,6.550000191E0,8.690000153E1,1.047069740E1,3.911236525E0
1.550090034E2,5.234091695E1,4.876260620E0,1.455173609E1,5.710000038E0,8.580000305E1,1.054101181E1,4.068594456E0
1.560099010E2,5.234091982E1,4.876330100E0,1.500990987E1,5.010000229E0,9.250000000E1,1.049724770E1,3.952426434E0
1.570093519E2,5.234092284E1,4.876395410E0,1.442230510E1,4.199999809E0,7.380000305E1,1.046339321E1,3.919661760E0
1.580104551E2,5.234092549E1,4.876456410E0,1.544474372E1,3.470000029E0,5.540000153E1,1.049120617E1,3.982004642E0
1.590085155E2,5.234092174E1,4.876492000E0,1.566814752E1,2.589999914E0,3.750000000E1,1.046778965E1,3.897891760E0
1.600098263E2,5.234092286E1,4.876515400E0,1.589832609E1,1.539999962E0,1.900000000E1,1.048420715E1,3.962807417E0
1.610089015E2,5.234092801E1,4.876528840E0,1.628243530E1,6.000000238E-1,3.500000000E0,1.054275513E1,4.182781696E0
1.620085756E2,5.234092522E1,4.876532240E0,1.619179611E1,6.299999952E-1,3.500000000E0,1.052082443E1,4.262844563E0
1.630102928E2,5.234092612E1,4.876553050E0,1.604984154E1,1.889999986E0,8.590000153E1,1.051239014E1,4.342073441E0
1.640099873E2,5.234093182E1,4.876579810E0,1.567919841E1,1.960000038E0,7.630000305E1,1.055350971E1,4.534928322E0
1.650098182E2,5.234094495E1,4.876630810E0,1.463340876E1,4.780000210E0,7.259999847E1,1.051045322E1,4.402370453E0
1.660088855E2,5.234096297E1,4.876691960E0,1.527989256E1,4.590000153E0,6.790000153E1,1.069871330E1,4.702241898E0
1.670093224E2,5.234098637E1,4.876764900E0,1.508923250E1,5.260000229E0,5.509999847E1,1.070850277E1,4.786986828E0
1.680088470E2,5.234102495E1,4.876834270E0,1.524960496E1,6.010000229E0,5.250000000E1,1.055377960E1,4.735327244E0
1.690091766E2,5.234105938E1,4.876901150E0,1.508221136E1,6.050000191E0,4.970000076E1,1.117192554E1,4.932353973E0
1.700084198E2,5.234112119E1,4.876949110E0,1.529173757E1,6.789999962E0,1.039999962E1,1.080652523E1,4.999983311E0
1.710093279E2,5.234119054E1,4.876989850E0,1.537413404E1,6.719999790E0,3.497000122E2,1.131204605E1,5.251619339E0
1.720085765E2,5.234125439E1,4.876982780E0,1.596632199E1,6.599999905E0,3.541000061E2,1.159055328E1,5.661290169E0
1.730088754E2,5.234134112E1,4.876972350E0,1.435199729E1,8.630000114E0,3.550000000E2,1.094025135E1,5.504266739E0
1.740092151E2,5.234142739E1,4.876961180E0,1.416626038E1,9.899999619E0,3.552999878E2,1.069773960E1,5.302976608E0
1.750085992E2,5.234151773E1,4.876956680E0,1.427478351E1,1.093000031E1,3.799999952E0,1.050706005E1,5.111420631E0
1.760086385E2,5.234162125E1,4.876950360E0,1.340706685E1,1.113000011E1,3.545000000E2,1.038719559E1,4.797111034E0
1.770088650E2,5.234172381E1,4.876942490E0,1.334421855E1,1.131000042E1,3.551000061E2,1.029072857E1,4.539617538E0
1.780091893E2,5.234182621E1,4.876929490E0,1.310674550E1,1.143000031E1,3.526000061E2,1.061427212E1,4.734579563E0
1.790084868E2,5.234193201E1,4.876918570E0,1.284529161E1,1.160000038E1,3.576000061E2,1.055530453E1,4.905106068E0
1.800088178E2,5.234203083E1,4.876906860E0,1.275869316E1,1.114000034E1,3.597999878E2,1.076377487E1,5.270920277E0
1.810091835E2,5.234212034E1,4.876891060E0,1.272487466E1,1.010000038E1,3.557999878E2,1.045429516E1,4.839048386E0
1.820085061E2,5.234219329E1,4.876880890E0,1.250646574E1,9.020000458E0,3.528999939E2,1.028008652E1,4.513013363E0
1.830086695E2,5.234226637E1,4.876887320E0,1.331095472E1,8.020000458E0,3.531000061E2,1.014824390E1,4.187560558E0
